pdb,top1_rmsd,top5_rmsd
6hzd,2.20681,1.47371
6n97,3.81467,3.81467
6p8z,0.575283,0.575283
6hza,2.4414,0.957579
6npi,0.566315,0.566315
6qlp,1.47499,1.47499
6g5u,2.49261,0.610605
6jt3,0.477756,0.477756
6o9b,3.28725,2.42413
6k1s,3.6522,0.732458
6qr2,1.37482,1.37482
6gj5,0.661404,0.661404
6oxr,1.79986,1.62113
6npp,0.26032,0.26032
6h14,1.13286,0.933894
6qmt,0.298447,0.298447
6ckl,0.576311,0.576311
6bqd,0.687983,0.687983
6jbe,0.178938,0.178938
6pka,0.406903,0.406903
6qlo,2.16729,2.16729
6rot,1.10839,1.10839
6mj4,3.69296,1.62195
6i74,4.1713,1.50759
6n8x,1.89278,1.40335
6dql,12.5562,10.8615
6n0m,1.05528,1.05528
6iql,5.53396,3.54763
6d08,2.58487,2.50345
6e5s,1.70963,1.58053
6os5,5.6437,1.09178
6qr1,1.00146,1.00146
6nxz,4.22131,3.40477
6hop,1.09774,0.969889
6n4e,0.951484,0.870846
6oxq,0.506358,0.506358
5zk9,15.1742,5.3684
6h13,2.68091,2.68091
6pnn,3.42831,3.42831
6hle,0.500009,0.500009
6uvy,0.37866,0.37866
6oir,1.43719,0.332071
6op9,1.88812,1.26852
6uwp,0.41256,0.41256
6e6w,2.95785,2.95785
6qln,4.1471,1.04619
6e13,2.81751,2.01043
6oxx,1.73008,1.20162
6d07,4.05533,4.05533
6a73,3.63413,3.42872
6j06,0.942806,0.942806
6h12,4.28017,3.11867
6gj7,4.44691,3.36022
6qmr,0.760851,0.760851
6hlb,6.83856,6.83856
6hor,0.984776,0.984776
6pnm,3.09394,2.7202
6hld,7.38935,7.37248
6qlu,1.35452,1.35452
6m7h,1.34689,1.34689
6qrd,0.364512,0.364512
5zjz,11.385,5.3518
6oiq,0.248552,0.248552
5ze6,3.55809,2.04026
6a87,2.70599,1.30218
6qls,8.05843,6.50619
6o5g,5.50734,0.919559
6e6v,1.9695,1.9695
5zr3,0.594054,0.594054
6rnu,4.97499,1.52522
6o0h,0.727236,0.727236
6np4,4.22909,3.69671
6i63,0.443088,0.443088
6qr7,0.924198,0.924198
6oxu,1.56544,1.56544
6ahs,1.57977,1.57977
6j9w,0.278689,0.255336
6mo8,2.42987,0.882215
6hhi,2.8863,1.19593
6qqw,0.224713,0.224713
6hzc,0.652975,0.652975
6cjr,0.897632,0.897632
6s56,0.466711,0.466711
6qlr,3.46794,1.31267
6qtm,14.9942,6.88398
6i77,0.966057,0.966057
6e3m,5.76559,4.75681
6k3l,0.59651,0.59651
6qra,0.450563,0.450563
6e7m,2.66849,1.3867
6gdy,1.71903,1.31627
6np3,3.93524,0.87617
6nri,1.74078,0.840195
6i62,0.63308,0.544077
6ny0,2.99632,2.49369
6st3,3.59176,1.20089
6mo7,3.30237,0.873833
6hhh,0.898118,0.898118
6qqv,0.169895,0.169895
6hzb,2.00921,2.00921
6quv,1.35246,1.31075
6s55,1.35034,1.35034
6eeb,1.07341,1.07341
6i76,1.8954,1.31632
6qw8,2.97013,1.97354
6ooz,0.373935,0.373935
6qtq,6.76656,5.98268
6n9l,4.79028,0.977883
6jib,0.711955,0.711955
6o9c,13.4871,3.09936
6np2,4.29978,0.855559
6nrh,2.84938,0.472427
6i61,0.441933,0.441933
6nt2,1.0093,1.0093
6hou,0.637026,0.637026
6agt,2.62689,2.62689
6oxw,0.955856,0.955856
6dz3,2.15087,2.03838
6qqu,0.136719,0.136719
