pdb,top1_rmsd,top5_rmsd
6hzd,1.53282,1.53282
6n97,3.28363,3.03836
6p8z,0.645505,0.645505
6hza,5.89718,1.43296
6npi,18.5631,17.1366
6qlp,0.855562,0.855562
6g5u,1.69699,0.706426
6jt3,0.336456,0.336456
6o9b,1.17973,1.17973
6k1s,0.541536,0.541536
6qr2,23.5078,23.4169
6gj5,0.684239,0.684239
6oxr,1.32027,1.17645
6npp,19.4482,18.5056
6h14,2.50504,0.955763
6qmt,0.318595,0.318595
6ckl,30.8649,29.9136
6bqd,0.696271,0.696271
6jbe,0.222887,0.222887
6pka,0.788962,0.788962
6qlo,3.94357,1.62848
6rot,1.05529,1.05529
6mj4,3.30266,1.56372
6i74,1.4659,1.2992
6n8x,1.88048,1.77959
6dql,36.6699,36.6699
6n0m,23.9168,23.9168
6iql,32.2993,28.2777
6d08,2.69299,2.69299
6e5s,1.7071,1.7071
6os5,5.64117,1.04479
6qr1,0.994539,0.994539
6nxz,8.14924,6.55597
6hop,0.708352,0.708352
6n4e,27.349,26.6785
6oxq,0.878226,0.878226
5zk9,5.96541,5.96541
6h13,4.61644,2.97568
6pnn,3.48681,3.42765
6hle,0.479932,0.479932
6uvy,2.3781,0.347914
6oir,19.6174,18.7123
6op9,1.18135,1.18135
6uwp,0.409315,0.409315
6e6w,2.97219,2.97219
6qln,1.98997,1.35801
6e13,31.8354,30.327
6oxx,1.6791,1.23947
6d07,3.84908,3.30512
6a73,4.12221,1.3561
6j06,1.13123,1.13123
6h12,4.21913,3.09908
6gj7,4.54714,3.45677
6qmr,0.782762,0.782762
6hlb,7.37408,5.10725
6hor,0.982641,0.982641
6pnm,3.09199,2.85372
6hld,6.85235,6.85235
6qlu,3.17059,1.47484
6m7h,11.9011,9.80138
6qrd,26.7809,25.3824
5zjz,7.41464,5.90747
6oiq,19.4598,18.931
5ze6,3.23492,3.10489
6a87,23.3065,23.3065
6qls,3.5814,0.774823
6o5g,5.50213,1.21003
6e6v,4.62826,2.02296
5zr3,0.574326,0.574326
6rnu,5.67405,2.26931
6o0h,16.829,15.5216
6np4,8.67428,4.52573
6i63,0.452429,0.452429
6qr7,0.180611,0.180611
6oxu,1.63625,1.63625
6ahs,6.80998,5.71789
6j9w,0.277349,0.273943
6mo8,1.85571,0.830577
6hhi,0.743877,0.743877
6qqw,0.197213,0.197213
6hzc,0.515543,0.515543
6cjr,0.845478,0.845478
6s56,6.34362,6.34362
6qlr,3.61415,1.53683
6qtm,13.1404,13.1404
6i77,3.85337,2.85336
6e3m,6.20244,4.62792
6k3l,0.587453,0.587453
6qra,2.10076,0.48256
6e7m,7.08434,2.43738
6gdy,4.43044,1.66777
6np3,3.79694,0.868387
6nri,0.503736,0.503736
6i62,0.735345,0.542625
6ny0,6.46705,4.93735
6st3,1.57891,1.57891
6mo7,3.31527,0.686079
6hhh,0.912443,0.912443
6qqv,0.102205,0.102205
6hzb,3.0738,1.47458
6quv,9.44716,7.52969
6s55,1.94954,1.94954
6eeb,1.12862,1.11855
6i76,1.40423,1.28654
6qw8,4.90181,2.63702
6ooz,2.72139,1.85742
6qtq,8.5084,6.47029
6n9l,33.6871,31.1747
6jib,0.736903,0.736903
6o9c,5.22631,2.29226
6np2,3.57221,0.861214
6nrh,2.57746,0.586234
6i61,0.46978,0.430286
6nt2,19.2296,17.7875
6hou,0.747089,0.747089
6agt,0.17218,0.17218
6oxw,1.50378,1.50378
6dz3,35.2533,35.2533
6qqu,0.12977,0.12977
6cjp,0.480899,0.480899
6g2o,1.21223,1.21223
6qrg,1.37861,1.37861
6s07,19.0174,8.38997
6i75,3.60009,1.16554
6uvp,1.5715,1.5715
6rpg,2.2552,2.02319
6op0,8.33333,6.94332
6npm,18.6024,16.6234
6oxz,8.54783,1.31384
6os6,5.61559,1.46563
6nrg,1.48342,1.48342
6hot,0.514344,0.514344
6n53,7.42468,4.67999
6dz2,5.63131,2.06398
6pno,3.92164,3.28922
6qqt,24.8401,24.7546
6i7a,3.33465,1.96336
6om4,11.9322,8.13443
6i78,0.409154,0.409154
